DBN,School Name,Borough,District,Grade Span,Enrollment,ELA Students Tested,ELA Mean Scale Score,ELA % Proficient,ELA % Level 4,ELA Proficiency Percentile (NYC Schools),Math Students Tested,Math Mean Scale Score,Math % Proficient,Math % Level 4,Math Proficiency Percentile (NYC Schools),Average % Proficient,Average Proficiency Percentile (NYC Schools),% Asian and Pacific Islander,% Black,% Hispanic,% White,% Multi-Racial,% Native American,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
20K192,P.S. 192 - The Magnet School for Math and Science,Brooklyn,20,3K-8,596,379,448.0,46.2,17.9,51.9,380,453.6,55.3,18.7,46.4,50.7,49.1,26.0,1.5,38.6,33.2,0.2,0.5,23.7,20.6,90.9,88.8
03M333,P.S. 333 Manhattan School for Children,Manhattan,3,K-8,407,219,447.8,52.1,20.5,62.0,177,450.8,49.2,16.4,38.2,50.6,50.1,5.2,19.2,41.3,28.5,5.4,0.5,37.8,13.5,53.1,58.2
24Q088,P.S. 088 Seneca,Queens,24,3K-5,670,279,444.2,42.7,15.1,46.5,287,455.3,58.5,18.8,51.6,50.6,49.0,7.8,1.5,60.9,26.9,2.4,0.6,25.2,16.7,67.8,64.8
11X106,P.S. 106 Parkchester,Bronx,11,3K-5,828,337,444.8,43.9,15.7,48.1,344,456.7,57.3,20.1,49.9,50.6,49.0,45.9,22.9,26.8,2.1,1.0,1.2,27.9,13.9,86.5,86.2
28Q312,Jamaica Children's School,Queens,28,K-5,245,85,449.3,49.4,22.4,56.9,85,448.3,51.8,9.4,41.1,50.6,49.0,11.0,46.5,37.6,1.2,1.6,1.6,33.5,25.3,86.1,84.5
11X498,P.S./M.S. 11X498 - Van Nest Academy,Bronx,11,K-8,599,419,446.7,43.9,17.7,48.0,412,454.7,57.0,17.7,49.3,50.5,48.7,13.2,7.7,58.9,17.7,2.0,0.5,22.9,15.2,84.3,81.0
08X071,P.S. 071 Rose E. Scala,Bronx,8,K-8,1070,696,447.1,47.3,19.5,53.8,697,453.7,53.5,19.2,43.9,50.4,48.8,14.5,5.6,60.2,17.6,1.4,0.7,24.2,16.0,76.2,72.4
20K030,P.S./I.S. 30 Mary White Ovington,Brooklyn,20,K-8,805,557,446.0,46.0,16.3,51.1,580,454.3,54.3,17.2,44.9,50.1,48.0,13.0,2.4,33.8,49.6,0.7,0.5,21.7,26.8,80.4,82.2
21K226,P.S. 226 Alfred De B. Mason,Brooklyn,21,PK-8,847,498,446.0,45.0,15.3,49.3,503,453.2,55.3,16.5,46.5,50.1,47.9,25.6,1.3,35.9,35.5,0.7,0.9,18.3,28.5,82.3,84.3
03M165,P.S. 165 Robert E. Simon,Manhattan,3,PK-5,455,183,448.4,51.4,27.9,60.8,183,448.7,48.6,18.6,36.4,50.0,48.6,8.4,13.8,42.9,28.6,5.9,0.4,23.3,8.6,49.2,51.7
22K217,P.S. 217 Colonel David Marcus School,Brooklyn,22,PK-5,844,387,446.6,47.8,17.1,54.5,397,452.7,52.1,16.6,41.4,50.0,48.0,55.9,5.1,17.1,19.5,0.8,1.5,16.4,30.6,82.8,82.9
18K279,P.S. 279 Herman Schreiber,Brooklyn,18,3K-5,265,92,444.4,43.5,19.6,47.4,91,453.1,56.0,17.6,47.9,49.8,47.6,2.3,83.8,9.4,3.4,0.4,0.8,22.3,7.9,75.8,75.4
08X072,P.S. 072 Dr. William Dorney,Bronx,8,3K-5,583,230,446.0,46.1,16.1,51.5,236,453.4,53.0,18.6,42.5,49.5,47.0,11.3,14.9,66.0,5.0,1.9,0.9,29.5,11.8,81.6,76.8
29Q136,P.S. 136 Roy Wilkins,Queens,29,3K-5,376,154,444.1,45.5,8.4,50.4,157,450.6,53.5,9.6,43.8,49.5,47.1,12.5,71.3,13.6,0.3,0.3,1.9,23.4,14.6,>95%,77.6
25Q020,P.S. 020 John Bowne,Queens,25,3K-5,968,467,442.5,41.3,16.7,44.8,489,456.5,57.5,22.1,50.4,49.4,47.6,63.8,4.1,26.8,3.0,1.9,0.4,15.2,41.4,85.4,78.9
08X014,P.S. X014 Senator John Calandra,Bronx,8,3K-5,725,288,444.6,42.7,14.2,46.6,290,453.4,55.9,16.6,47.1,49.3,46.9,13.4,5.5,60.3,18.1,2.1,0.7,26.1,16.0,73.5,70.3
25Q120,P.S. 120 Queens,Queens,25,PK-5,747,363,440.1,38.3,18.2,38.7,369,459.2,60.2,29.3,54.8,49.2,46.7,60.4,0.9,35.6,1.5,0.8,0.8,17.1,51.0,86.5,86.1
29Q033,P.S. 033 Edward M. Funk,Queens,29,PK-5,678,318,444.2,41.5,13.2,45.2,319,453.6,56.7,12.9,48.8,49.1,47.0,49.9,12.4,27.3,1.6,3.5,5.2,19.5,16.7,76.7,69.5
27Q124,P.S. 124 Osmond A Church,Queens,27,K-8,967,680,447.6,48.5,22.5,55.6,655,451.5,49.6,17.1,38.9,49.1,47.2,40.6,17.7,21.6,5.2,2.1,12.8,15.2,13.7,82.1,71.9
27Q155,P.S. 155,Queens,27,3K-5,496,204,446.3,43.6,14.7,47.6,208,452.4,54.3,15.9,45.1,49.0,46.4,51.6,16.5,17.5,1.4,1.8,10.7,16.7,9.3,74.6,70.2
19K224,P.S. 224 Hale A. Woodruff,Brooklyn,19,3K-5,283,136,444.2,39.0,11.8,39.9,136,455.6,58.8,20.6,52.6,48.9,46.3,3.9,55.8,33.6,3.5,1.1,1.8,30.0,9.9,93.6,92.0
10X226,P.S. 226,Bronx,10,3K-5,305,135,442.6,43.7,11.9,47.8,135,452.8,54.1,15.6,44.7,48.9,46.2,1.0,17.0,80.0,1.3,0.0,0.7,23.0,28.2,94.8,93.8
15K896,The School of Creativity and Innovation,Brooklyn,15,3K-5,312,109,444.6,43.1,13.8,47.1,118,453.0,54.2,16.9,44.8,48.7,46.0,38.5,1.3,51.0,7.4,1.6,0.3,27.9,46.5,86.9,82.9
29Q035,P.S. 035 Nathaniel Woodhull,Queens,29,PK-5,659,274,442.7,39.4,18.2,41.0,284,453.2,57.4,15.8,50.3,48.4,45.6,36.9,24.9,27.5,2.7,1.8,6.2,21.2,21.2,78.0,78.9
29Q156,P.S. 156 Laurelton,Queens,29,3K-5,196,87,446.3,46.0,19.5,51.2,87,447.0,50.6,6.9,40.1,48.3,45.6,5.1,75.5,15.3,2.6,1.0,0.5,20.9,5.6,82.7,76.3
11X178,P.S. 178 - Dr. Selman Waksman,Bronx,11,3K-5,331,128,443.3,40.6,13.3,43.5,127,452.2,55.9,11.8,47.3,48.3,45.4,6.3,56.2,30.8,3.3,1.5,1.2,32.9,6.3,76.7,68.6
10X086,P.S. 086 Kingsbridge Heights,Bronx,10,PK-5,834,340,443.3,38.5,13.2,39.3,350,458.2,57.7,24.9,50.7,48.1,45.0,3.5,8.0,85.0,1.9,1.2,0.4,31.3,33.1,94.7,93.6
02M002,P.S. 002 Meyer London,Manhattan,2,3K-5,282,133,442.4,39.1,10.5,40.3,135,456.8,57.0,25.9,49.2,48.1,44.8,41.8,18.8,35.5,3.2,0.4,0.4,33.7,24.8,94.0,90.2
06M004,P.S. 004 Duke Ellington,Manhattan,6,3K-5,417,158,442.2,37.3,10.8,36.7,160,457.0,58.8,21.9,52.3,48.0,44.5,1.2,7.4,85.6,3.8,0.7,1.0,27.1,18.5,79.1,83.5
08X036,P.S. 036 Unionport,Bronx,8,PK-5,657,280,443.3,41.1,16.8,44.4,287,452.7,54.4,16.4,45.2,47.7,44.8,34.9,9.0,45.7,7.0,1.2,2.1,21.3,14.8,84.9,86.0
19K345,P.S. 345 Patrolman Robert Bolden,Brooklyn,19,3K-5,478,224,440.1,35.7,11.2,34.1,230,455.3,59.6,17.8,53.9,47.6,44.0,10.3,36.2,49.4,1.0,1.0,2.1,18.0,19.5,>95%,92.4
29Q015,P.S. 015 Jackie Robinson,Queens,29,PK-5,296,114,442.6,38.6,7.0,39.4,113,451.5,56.6,8.8,48.5,47.6,44.0,4.7,72.3,13.9,2.4,3.7,3.0,31.4,11.5,77.7,75.8
29Q116,P.S./I.S. 116 William C. Hughley,Queens,29,PK-8,835,266,449.1,49.6,20.7,57.4,271,447.8,45.4,11.8,30.5,47.5,43.9,18.8,35.8,41.0,0.5,0.6,3.4,18.6,27.4,83.1,83.9
21K238,P.S. 238 Anne Sullivan,Brooklyn,21,3K-8,525,308,446.4,46.4,13.3,52.1,308,448.9,48.4,10.4,36.2,47.4,44.2,26.3,1.9,41.1,29.3,1.1,0.2,19.8,35.6,86.9,88.4
